player_name,position,class_year,previous_school,school_name,division,conference_code,primary_conference,source_url,collected_at,height_inches,hometown_city,hometown_state,hometown_country,season,height_imputed
Becca Siedenburg,S,SR,Gardner-Webb,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,68.0,Wales,WI,USA,2025,False
Avery Thaler,MB,SO,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,70.0,Fairfield,TX,USA,2025,False
Rachel Koss,S,JR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,71.0,Freedom,WI,USA,2025,False
Courtney Church,OH,R-FR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,72.0,Driftwood,TX,USA,2025,False
Hannah Gonzalez,MB,JR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,74.0,Lucas,TX,USA,2025,False
Annaleise Sevier,OH,SO,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,70.0,Aubrey,TX,USA,2025,False
Ashli Edmiston,OH,SR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,68.0,Wilsonville,OR,USA,2025,False
Aubrey Beaver,OH,JR,Cal State Fullerton,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,72.0,Murrieta,CA,USA,2025,False
Izabelle Larson,OH,JR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,71.0,San Jose,CA,USA,2025,False
Abby Christian,L/DS,JR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,69.0,Kansas City,MO,USA,2025,False
Aliyah Jowers,OH,FR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,71.0,Abilene,TX,USA,2025,False
Hadlee Welch,OH,FR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,76.0,Lubbock,TX,USA,2025,False
Alexis Strong,OH,JR,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,73.0,Louisville,KY,USA,2025,False
Erika Gustafson,MB,R-SO,Montana State,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,74.0,Denton,TX,USA,2025,False
Brennan Ramirez,L/DS,R-FR,Texas,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,61.0,Waxahachie,TX,USA,2025,False
Rayishon Jackman,OH,SO,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,69.0,Taipei,,Taiwan,2025,False
Sana Dennis,MB,GR,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,73.0,Atlanta,GA,USA,2025,False
Caitlin Shaw,OH,SR,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,73.0,Desoto,TX,USA,2025,False
Carys Sanabria,MB,FR,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,74.0,Marietta,GA,USA,2025,False
Nevaeh Johnson,MB,JR,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,75.0,Desoto,TX,USA,2025,False
Kaydee Smith,S,FR,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,69.0,Mooresville,NC,USA,2025,False
Tamirea Taylor,OH,JR,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,72.0,Bessemer,AL,USA,2025,False
