jersey_number,player_name,position,class_year,high_school,previous_school,school_name,division,conference_code,primary_conference,source_url,collected_at,height_inches,hometown_city,hometown_state,hometown_country,season
1,Becca Siedenburg,S,SR,Kettle Moraine HS,Gardner-Webb,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,68,Wales,WI,USA,2025
2,Avery Thaler,MB,SO,Fairfield HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,70,Fairfield,TX,USA,2025
4,Rachel Koss,S,JR,Freedom HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,71,Freedom,WI,USA,2025
5,Courtney Church,OH,R-FR,Veritas Academy,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,72,Driftwood,TX,USA,2025
7,Hannah Gonzalez,MB,JR,Lovejoy HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,74,Lucas,TX,USA,2025
8,Annaleise Sevier,OH,SO,Aubrey HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,70,Aubrey,TX,USA,2025
9,Ashli Edmiston,OH,SR,Wilsonville HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,68,Wilsonville,OR,USA,2025
10,Aubrey Beaver,OH,JR,Temecula Valley HS,Cal State Fullerton,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,72,Murrieta,CA,USA,2025
11,Izabelle Larson,OH,JR,Santa Teresa HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,71,San Jose,CA,USA,2025
12,Abby Christian,L/DS,JR,Liberty North HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,69,Kansas City,MO,USA,2025
14,Aliyah Jowers,OH,FR,Wylie HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,71,Abilene,TX,USA,2025
15,Hadlee Welch,OH,FR,Frenship HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,76,Lubbock,TX,USA,2025
21,Alexis Strong,OH,JR,Assumption HS,,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,73,Louisville,KY,USA,2025
22,Erika Gustafson,MB,R-SO,Guyer HS,Montana State,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,74,Denton,TX,USA,2025
24,Brennan Ramirez,L/DS,R-FR,Waxahachie HS,Texas,Abilene Christian University,DI,WAC,Western Athletic Conference,https://acusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:56.672717+00:00,61,Waxahachie,TX,USA,2025
1,Rayishon Jackman,OH,SO,National Taiwan Normal University,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,69,Taipei,,Taiwan,2025
3,Sana Dennis,MB,GR,St. Thomas University,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,73,Atlanta,GA,USA,2025
4,Caitlin Shaw,OH,SR,Desoto HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,73,Desoto,TX,USA,2025
6,Carys Sanabria,MB,FR,North Cobb HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,74,Marietta,GA,USA,2025
7,Nevaeh Johnson,MB,JR,Duncanville HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,75,Desoto,TX,USA,2025
9,Kaydee Smith,S,FR,Davidson Day School,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,69,Mooresville,NC,USA,2025
11,Tamirea Taylor,OH,JR,Bishop State CC,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,72,Bessemer,AL,USA,2025
13,Cherrish Robinson,MB,FR,Atascocita HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,72,Houston,TX,USA,2025
15,Nhya Morgan,MB,SO,Colegio Deportivo de Limón,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,72,Limón,,Costa Rica,2025
16,Kemora Coachman,L/DS,SR,Sparkman HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,70,Huntsville,AL,USA,2025
18,Isabella Fleurima,OH,FR,North Naperville HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,71,Naperville,IL,USA,2025
21,Briana Smith,S,JR,Lurleen B. Wallace CC,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,70,Madison,AL,USA,2025
22,Saniya Spalding,MB,SR,Edward Waters,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,72,Merrillville,IN,USA,2025
23,Aspen Creekmore,OH,SO,Grayson HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,73,Loganville,GA,USA,2025
24,Keyara Scott-Johnson,OH,SR,"Laveen, Ariz",,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,69,Laveen,AZ,USA,2025
25,Bailey Wallace,L/DS,FR,Loyola Academy,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,65,Chicago,IL,USA,2025
58,Kelani Talakai,L/DS,FR,Ridgeline HS,,Alabama A&M University,DI,SWAC,Southwestern Athletic Conf.,https://aamusports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:46:58.999395+00:00,65,Providence,UT,USA,2025
2,Brynn Metoyer,OH,FR,Klein Collins HS,,Alabama State University,DI,SWAC,Southwestern Athletic Conf.,https://bamastatesports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:47:01.301973+00:00,70,Spring,TX,USA,2025
4,Trinity Mitchell,L/DS,JR,Alpharetta HS,,Alabama State University,DI,SWAC,Southwestern Athletic Conf.,https://bamastatesports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:47:01.301973+00:00,64,Alpharetta,GA,USA,2025
5,Sierra Scanlan,S,SR,Kamehameha,,Alabama State University,DI,SWAC,Southwestern Athletic Conf.,https://bamastatesports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:47:01.301973+00:00,68,Puna,HI,USA,2025
6,Bailee Payne,OH,SO,Sterling HS,,Alabama State University,DI,SWAC,Southwestern Athletic Conf.,https://bamastatesports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:47:01.301973+00:00,70,Baytown,TX,USA,2025
8,Taylor Williams,OH,SO,Langham Creek,,Alabama State University,DI,SWAC,Southwestern Athletic Conf.,https://bamastatesports.com/sports/womens-volleyball/roster/2025,2026-07-20T00:47:01.301973+00:00,70,Cypress,TX,USA,2025
