school_name,season, wins, losses, tournament_berth
Abilene Christian University,2025,13,7,
Alabama A&M University,2025,19,12,
Alabama State University,2025,14,16,
Alcorn State University,2025,3,26,
Appalachian State University,2025,15,12,
Ball State University,2025,21,10,
Bethune-Cookman University,2025,14,15,
Binghamton University,2025,12,14,
Bradley University,2025,13,15,
Bryant University,2025,16,12,
California Baptist University,2025,7,18,
Campbell University,2025,23,6,Automatic
Canisius University,2025,12,18,
Charleston Southern University,2025,16,13,
Chicago State University,2025,1,25,
Coppin State University,2025,23,11,Automatic
DePaul University,2025,14,13,
East Texas A&M University,2025,9,19,
Eastern Washington University,2025,3,25,
Fairfield University,2025,25,5,Automatic
Florida Gulf Coast University,2025,19,9,
Florida International University,2025,20,12,
Florida State University,2025,16,13,
Fordham University,2025,9,19,
George Mason University,2025,17,13,
Georgetown University,2025,14,15,
Georgia State University,2025,18,10,
Gonzaga University,2025,14,15,
Grambling State University,2025,8,19,
Grand Canyon University,2025,8,19,
Hampton University,2025,1,26,
Harvard University,2025,7,15,
High Point University,2025,18,9,Automatic
Hofstra University,2025,22,4,
Houston Christian University,2025,12,18,
Howard University,2025,18,11,
Idaho State University,2025,13,18,
Illinois State University,2025,14,16,
Indiana State University,2025,9,19,
Indiana University Indianapolis,2025,18,14,
Jackson State University,2025,14,15,
Jacksonville University,2025,22,8,
James Madison University,2025,22,9,
Kent State University,2025,8,21,
Lehigh University,2025,12,14,
Liberty University,2025,20,10,
Lindenwood University,2025,11,16,
Long Island University,2025,20,8,Automatic
Loyola Marymount University,2025,7,20,
Loyola University Chicago,2025,17,15,Automatic
Loyola University Maryland,2025,7,18,
Manhattan University,2025,4,24,
Marist University,2025,10,20,
McNeese State University,2025,8,20,
Merrimack College,2025,9,18,
Middle Tennessee State University,2025,11,17,
Mississippi Valley State University,2025,4,20,
Montana State University-Bozeman,2025,13,15,
Morehead State University,2025,23,9,
Morgan State University,2025,11,14,
Murray State University,2025,4,21,
Niagara University,2025,12,15,
Nicholls State University,2025,13,16,
Norfolk State University,2025,6,31,
North Carolina State University,2025,15,15,
North Dakota State University,2025,17,11,
Northeastern University,2025,9,16,
Northern Arizona University,2025,23,7,
Northern Illinois University,2025,13,14,
Northern Kentucky University,2025,22,9,
Oakland University,2025,7,23,
Oral Roberts University,2025,3,25,
Portland State University,2025,11,17,
Purdue University Fort Wayne,2025,3,26,
Quinnipiac University,2025,19,12,
Rider University,2025,16,16,
Robert Morris University,2025,9,20,
Sacred Heart University,2025,11,19,
Saint Francis University,2025,20,9,
Sam Houston State University,2025,11,18,
Samford University,2025,13,15,
Seton Hall University,2025,6,21,
Siena University,2025,14,19,
South Carolina State University,2025,5,23,
South Dakota State University,2025,23,4,At-Large
Southeastern Louisiana University,2025,20,9,
Southern Illinois University Edwardsville,2025,12,18,
Southern Illinois University at Carbondale,2025,13,17,
Southern Methodist University,2025,25,5,At-Large
"Southern University, Baton Rouge",2025,16,17,
Southern Utah University,2025,3,21,
St. John's University (New York),2025,10,19,
Stephen F. Austin State University,2025,23,7,Automatic
Stetson University,2025,9,19,
Stonehill College,2025,6,24,
Stony Brook University,2025,12,15,
Syracuse University,2025,13,17,
Tarleton State University,2025,16,10,
Temple University,2025,16,15,
Texas A&M University-Corpus Christi,2025,13,17,
Texas Southern University,2025,17,12,
The Ohio State University,2025,6,22,
Towson University,2025,21,7,
Tulane University,2025,11,16,
U.S. Naval Academy,2025,13,14,
University of Arizona,2025,16,12,At-Large
"University of Arkansas, Fayetteville",2025,5,22,
"University of Arkansas, Pine Bluff",2025,1,28,
"University of California, Berkeley",2025,9,21,
"University of California, Davis",2025,21,7,
"University of California, Riverside",2025,9,19,
"University of California, Santa Barbara",2025,23,9,
University of Central Arkansas,2025,18,11,Automatic
University of Connecticut,2025,19,9,
University of Denver,2025,17,11,
University of Evansville,2025,6,22,
University of Florida,2025,15,11,At-Large
University of Idaho,2025,6,22,
University of Illinois Chicago,2025,17,10,
University of Illinois Urbana-Champaign,2025,13,16,
University of Kansas,2025,22,10,At-Large
University of Louisiana Monroe,2025,10,20,
University of Maryland Eastern Shore,2025,11,18,
University of Montana,2025,17,11,
University of Nebraska at Omaha,2025,10,16,
"University of Nevada, Las Vegas",2025,13,15,
"University of Nevada, Reno",2025,8,20,
University of New Orleans,2025,8,21,
University of North Alabama,2025,14,16,
University of North Carolina Wilmington,2025,5,21,
"University of North Carolina, Chapel Hill",2025,21,8,At-Large
University of North Dakota,2025,7,20,
University of North Florida,2025,14,17,
University of Northern Iowa,2025,25,5,Automatic
University of Pennsylvania,2025,12,12,
University of Portland,2025,14,15,
University of San Diego,2025,25,4,Automatic
University of South Alabama,2025,15,14,
University of South Dakota,2025,25,5,
University of St. Thomas (Minnesota),2025,21,9,Automatic
"University of Tennessee, Knoxville",2025,20,7,At-Large
University of Texas at Arlington,2025,11,14,
University of Texas at El Paso,2025,25,4,At-Large
University of Utah,2025,15,15,
University of Wisconsin-Milwaukee,2025,11,21,
University of Wyoming,2025,17,13,
University of the Incarnate Word,2025,17,13,
University of the Pacific,2025,8,21,
Utah State University,2025,23,7,Automatic
Utah Tech University,2025,21,6,
Utah Valley University,2025,16,10,Automatic
Valparaiso University,2025,21,9,
Villanova University,2025,20,8,
Virginia Commonwealth University,2025,16,13,
Western Carolina University,2025,8,21,
Western Illinois University,2025,7,24,
Winthrop University,2025,18,7,
