school_name,season,division,conference_code,primary_conference,roster_size,avg_height_inches,median_height_inches,min_height_inches,max_height_inches,height_std_inches,imputed_height_count,avg_experience,median_experience,max_experience,transfer_count,international_count,transfer_pct,international_pct,imputed_height_pct,experience_year_1_count,experience_year_2_count,experience_year_3_count,experience_year_4_count,experience_year_5_count,experience_year_1_pct,experience_year_2_pct,experience_year_3_pct,experience_year_4_pct,experience_year_5_pct,position_l_ds_count,position_mb_count,position_oh_count,position_opp_count,position_s_count
Abilene Christian University,2025,DI,WAC,Western Athletic Conference,15,70.66666666666667,71.0,61.0,76.0,3.498298906339371,0,2.6,3.0,4.0,4,0,0.26666666666666666,0.0,0.0,2.0,4.0,7.0,2.0,0.0,0.13333333333333333,0.26666666666666666,0.4666666666666667,0.13333333333333333,0.0,2.0,3.0,8.0,0.0,2.0
Alabama A&M University,2025,DI,SWAC,Southwestern Athletic Conf.,17,70.82352941176471,72.0,65.0,75.0,2.8114785726919393,0,2.4705882352941178,2.0,5.0,0,2,0.0,0.11764705882352941,0.0,6.0,3.0,3.0,4.0,1.0,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.058823529411764705,3.0,6.0,6.0,0.0,2.0
Alabama State University,2025,DI,SWAC,Southwestern Athletic Conf.,13,69.46153846153847,70.0,63.0,74.0,3.152125859780576,0,2.5384615384615383,2.0,5.0,0,0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,1.0,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.07692307692307693,2.0,4.0,4.0,1.0,2.0
Alcorn State University,2025,DI,SWAC,Southwestern Athletic Conf.,7,68.85714285714286,70.0,61.0,74.0,4.845223470201397,0,2.142857142857143,2.0,5.0,0,1,0.0,0.14285714285714285,0.0,3.0,2.0,1.0,0.0,1.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,2.0,2.0,2.0,0.0,1.0
Appalachian State University,2025,DI,SBC,Sun Belt Conference,10,71.9,71.5,70.0,75.0,1.8529256146249726,0,3.0,3.0,5.0,0,1,0.0,0.1,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.4,0.3,0.2,0.1,0.0,3.0,3.0,1.0,3.0
Ball State University,2025,DI,Mid American,Mid-American Conference,15,70.87375143401758,71.45390070921985,66.12328767123287,73.15611814345992,2.637295740570816,0,2.7333333333333334,2.0,5.0,0,0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,2.0,0.2,0.3333333333333333,0.13333333333333333,0.2,0.13333333333333333,3.0,4.0,5.0,2.0,1.0
Bethune-Cookman University,2025,DI,SWAC,Southwestern Athletic Conf.,4,68.5,68.5,67.0,70.0,1.2909944487358056,0,2.25,2.0,3.0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Binghamton University,2025,DI,America East,America East Conference,18,70.11111111111111,71.0,60.0,73.0,3.141541189567891,0,1.8888888888888888,1.5,5.0,3,6,0.16666666666666666,0.3333333333333333,0.0,9.0,6.0,0.0,2.0,1.0,0.5,0.3333333333333333,0.0,0.1111111111111111,0.05555555555555555,3.0,4.0,5.0,3.0,3.0
Bradley University,2025,DI,MVC,Missouri Valley Conference,17,69.82352941176471,70.0,64.0,74.0,3.2641096434871626,0,2.2941176470588234,2.0,4.0,0,3,0.0,0.17647058823529413,0.0,5.0,5.0,4.0,3.0,0.0,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.0,4.0,5.0,6.0,0.0,2.0
Bryant University,2025,DI,America East,America East Conference,17,71.6470588235294,72.0,63.0,74.0,2.5724787771376305,0,2.7058823529411766,3.0,4.0,0,4,0.0,0.23529411764705882,0.0,4.0,3.0,4.0,6.0,0.0,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.35294117647058826,0.0,1.0,4.0,7.0,2.0,3.0
