school,berth_type,record
Nebraska,Automatic,30–0
Louisville,At–Large,24–6
Texas A&M,At–Large,23–4
Kansas,At–Large,22–10
Miami (FL),At–Large,26–5
TCU,At–Large,20–10
Western Kentucky,Automatic,27–5
San Diego,Automatic,25–4
LIU,Automatic,20–8
Kansas State,At–Large,17–9
Tulsa,At–Large,25–6
High Point,Automatic,18–9
Campbell,Automatic,23–6
Stephen F. Austin,Automatic,23–7
Marquette,At–Large,17–10
Loyola Chicago,Automatic,17–15
Texas,At–Large,23–3
Stanford,Automatic,27–4
Wisconsin,At–Large,24–4
Indiana,At–Large,23–7
Colorado,At–Large,22–8
UTEP,At–Large,25–4
South Dakota State,At–Large,23–4
Penn State,At–Large,18–12
Florida A&M,Automatic,14–16
USF,At–Large,17–12
American,Automatic,24–4
Toledo,Automatic,23–10
Eastern Illinois,Automatic,24–7
North Carolina,At–Large,21–8
Arizona,At–Large,16–12
Utah Valley,Automatic,16–10
Xavier,At–Large,26–4
Rice,Automatic,21–9
Baylor,At–Large,17–9
Iowa State,At–Large,22–7
Minnesota,At–Large,22–9
Purdue,At–Large,24–6
SMU,At–Large,25–5
Pittsburgh,At–Large,26–4
Central Arkansas,Automatic,18–11
Florida,At–Large,15–11
Arkansas State,Automatic,22–8
Wright State,Automatic,21–10
Fairfield,Automatic,25–5
St. Thomas (MN),Automatic,21–9
Michigan,At–Large,21–10
UMBC,Automatic,13–11
Kentucky,Automatic,25–2
Arizona State,Automatic,26–3
Creighton,Automatic,25–5
Southern California,At–Large,24–6
BYU,At–Large,22–8
UNI,Automatic,25–5
Tennessee,At–Large,20–7
UCLA,At–Large,18–12
Coppin State,Automatic,23–11
Utah State,Automatic,23–7
Utah,At–Large,15–14
Northern Colorado,Automatic,17–15
Princeton,Automatic,18–6
Cal Poly,Automatic,25–7
Georgia Tech,At–Large,16–13
Wofford,Automatic,17–13
